"Time","write"
2023-11-23 14:38:00,0
2023-11-23 14:38:10,0
2023-11-23 14:38:20,0
2023-11-23 14:38:30,644
2023-11-23 14:38:40,1288
2023-11-23 14:38:50,1288
2023-11-23 14:39:00,2545
2023-11-23 14:39:10,3801
2023-11-23 14:39:20,3801
2023-11-23 14:39:30,4300
2023-11-23 14:39:40,4799
2023-11-23 14:39:50,4799
2023-11-23 14:40:00,5194
2023-11-23 14:40:10,5589
2023-11-23 14:40:20,5589
2023-11-23 14:40:30,6035
2023-11-23 14:40:40,6482
2023-11-23 14:40:50,6482
2023-11-23 14:41:00,6624
2023-11-23 14:41:10,6766
2023-11-23 14:41:20,6766
2023-11-23 14:41:30,6409
2023-11-23 14:41:40,6052
2023-11-23 14:41:50,6052
2023-11-23 14:42:00,5855
2023-11-23 14:42:10,5658
2023-11-23 14:42:20,5658
2023-11-23 14:42:30,6066
2023-11-23 14:42:40,6473
2023-11-23 14:42:50,6473
2023-11-23 14:43:00,6490
2023-11-23 14:43:10,6506
2023-11-23 14:43:20,6506
2023-11-23 14:43:30,3253
