"Time","write"
2023-11-23 14:38:00,0
2023-11-23 14:38:10,0
2023-11-23 14:38:20,0
2023-11-23 14:38:30,644
2023-11-23 14:38:40,1288
2023-11-23 14:38:50,1288
2023-11-23 14:39:00,2545
2023-11-23 14:39:10,3801
2023-11-23 14:39:20,3801
2023-11-23 14:39:30,4300
2023-11-23 14:39:40,4799
2023-11-23 14:39:50,4799
2023-11-23 14:40:00,5194
2023-11-23 14:40:10,5589
2023-11-23 14:40:20,5589
2023-11-23 14:40:30,6035
2023-11-23 14:40:40,6482
2023-11-23 14:40:50,6482
2023-11-23 14:41:00,6624
2023-11-23 14:41:10,6766
2023-11-23 14:41:20,6766
2023-11-23 14:41:30,6409
2023-11-23 14:41:40,6052
2023-11-23 14:41:50,6052
2023-11-23 14:42:00,5855
2023-11-23 14:42:10,5658
2023-11-23 14:42:20,5658
2023-11-23 14:42:30,6066
2023-11-23 14:42:40,6473
2023-11-23 14:42:50,6473
2023-11-23 14:43:00,6490
2023-11-23 14:43:10,6506
2023-11-23 14:43:20,6506
2023-11-23 14:43:30,3253
2023-11-23 14:43:40,0
2023-11-23 14:43:50,0
2023-11-23 14:44:00,3195
2023-11-23 14:44:10,6390
2023-11-23 14:44:20,6390
2023-11-23 14:44:30,6199
2023-11-23 14:44:40,6008
2023-11-23 14:44:50,6008
2023-11-23 14:45:00,5784
2023-11-23 14:45:10,5560
2023-11-23 14:45:20,5560
2023-11-23 14:45:30,5473
2023-11-23 14:45:40,5386
2023-11-23 14:45:50,5386
2023-11-23 14:46:00,5355
2023-11-23 14:46:10,5324
2023-11-23 14:46:20,5324
2023-11-23 14:46:30,5653
2023-11-23 14:46:40,5982
2023-11-23 14:46:50,5982
2023-11-23 14:47:00,5941
2023-11-23 14:47:10,5901
2023-11-23 14:47:20,5901
2023-11-23 14:47:30,2950
2023-11-23 14:47:40,0
2023-11-23 14:47:50,0
2023-11-23 14:48:00,0

