"Time","write"
2023-12-20 13:40:00,0
2023-12-20 13:40:10,0
2023-12-20 13:40:20,0
2023-12-20 13:40:30,47.5
2023-12-20 13:40:40,95.0
2023-12-20 13:40:50,95.0
2023-12-20 13:41:00,9234
2023-12-20 13:41:10,18373
2023-12-20 13:41:20,18373
2023-12-20 13:41:30,22894
2023-12-20 13:41:40,27415
2023-12-20 13:41:50,27415
2023-12-20 13:42:00,28523
2023-12-20 13:42:10,29631
2023-12-20 13:42:20,29631
2023-12-20 13:42:30,28600
2023-12-20 13:42:40,26568
2023-12-20 13:42:50,26568
2023-12-20 13:43:00,25345
2023-12-20 13:43:10,18121
2023-12-20 13:43:20,15121
2023-12-20 13:43:30,8959
2023-12-20 13:43:40,2797
2023-12-20 13:43:50,2797
2023-12-20 13:44:00,1398
2023-12-20 13:44:10,0
2023-12-20 13:44:20,0
2023-12-20 13:44:30,0

